,CANTIDAD_CORRECTIVAS,CANTIDAD_CRIMENES
1184,192.0,0.0
1185,222.0,0.0
1186,162.0,0.0
1187,217.0,0.0
1188,197.0,2.0
1189,149.0,0.0
1190,135.0,0.0
1191,179.0,0.0
1192,214.0,0.0
1193,212.0,1.0
1194,228.0,0.0
1195,435.0,0.0
1196,352.0,0.0
1197,350.0,0.0
1198,227.0,0.0
1199,274.0,0.0
1200,294.0,0.0
1201,284.0,0.0
1202,338.0,0.0
1203,318.0,0.0
1204,270.0,0.0
1205,186.0,0.0
1206,185.0,0.0
1207,202.0,0.0
1208,194.0,0.0
1209,211.0,0.0
1210,192.0,0.0
1211,133.0,0.0
1212,116.0,0.0
1213,198.0,0.0
1214,190.0,0.0
1215,163.0,0.0
1216,229.0,0.0
1217,171.0,0.0
1218,239.0,0.0
1219,112.0,0.0
1220,80.0,0.0
1221,147.0,0.0
1222,129.0,0.0
1223,117.0,0.0
1224,73.0,0.0
1225,77.0,0.0
1226,79.0,0.0
1227,90.0,0.0
1228,153.0,0.0
1229,179.0,0.0
1230,160.0,0.0
1231,140.0,0.0
1232,188.0,0.0
1233,192.0,0.0
1234,118.0,0.0
1235,173.0,0.0
1236,150.0,0.0
1237,121.0,0.0
1238,171.0,0.0
1239,194.0,0.0
1240,167.0,0.0
1241,76.0,0.0
1242,62.0,0.0
1243,114.0,0.0
1244,64.0,0.0
1245,85.0,0.0
1246,211.0,0.0
1247,59.0,0.0
1248,24.0,0.0
1249,75.0,0.0
1250,80.0,1.0
1251,172.0,0.0
1252,192.0,0.0
1253,141.0,0.0
1254,64.0,0.0
1255,44.0,0.0
1256,39.0,0.0
1257,78.0,0.0
1258,142.0,0.0
1259,215.0,0.0
1260,185.0,0.0
1261,215.0,0.0
1262,65.0,0.0
1263,103.0,0.0
1264,86.0,0.0
1265,119.0,0.0
1266,130.0,0.0
1267,133.0,0.0
1268,65.0,0.0
1269,81.0,0.0
1270,123.0,0.0
1271,90.0,0.0
1272,173.0,0.0
1273,191.0,0.0
1274,191.0,0.0
1275,166.0,0.0
1276,180.0,0.0
1277,223.0,0.0
1278,150.0,0.0
1279,194.0,0.0
1280,216.0,0.0
1281,192.0,0.0
1282,122.0,0.0
1283,137.0,0.0
1284,140.0,0.0
1285,207.0,0.0
1286,133.0,0.0
1287,201.0,0.0
1288,240.0,0.0
1289,225.0,0.0
1290,128.0,0.0
1291,158.0,0.0
1292,160.0,0.0
1293,223.0,0.0
1294,140.0,0.0
1295,239.0,0.0
1296,151.0,0.0
1297,113.0,0.0
1298,175.0,0.0
1299,90.0,0.0
1300,151.0,0.0
1301,177.0,0.0
1302,242.0,1.0
1303,59.0,0.0
1304,78.0,0.0
1305,167.0,0.0
1306,156.0,0.0
1307,140.0,0.0
1308,264.0,0.0
1309,167.0,0.0
1310,100.0,0.0
1311,124.0,1.0
1312,109.0,0.0
1313,74.0,0.0
1314,109.0,0.0
1315,125.0,0.0
1316,107.0,0.0
1317,75.0,1.0
1318,40.0,0.0
1319,61.0,0.0
1320,92.0,0.0
1321,78.0,0.0
1322,85.0,0.0
1323,84.0,0.0
1324,72.0,0.0
1325,60.0,0.0
1326,59.0,0.0
1327,48.0,0.0
1328,82.0,0.0
1329,126.0,0.0
1330,105.0,0.0
1331,44.0,0.0
1332,29.0,0.0
1333,20.0,0.0
1334,34.0,0.0
1335,66.0,2.0
1336,117.0,0.0
1337,77.0,0.0
1338,34.0,0.0
1339,46.0,0.0
1340,71.0,2.0
1341,42.0,0.0
1342,98.0,0.0
1343,76.0,0.0
1344,172.0,0.0
1345,67.0,0.0
1346,49.0,0.0
1347,60.0,0.0
